"","method","crying"
"1","convent","63"
"2","convent","0"
"3","convent","2"
"4","convent","46"
"5","convent","33"
"6","convent","33"
"7","convent","29"
"8","convent","23"
"9","convent","11"
"10","convent","12"
"11","convent","48"
"12","convent","15"
"13","convent","33"
"14","convent","14"
"15","convent","51"
"16","convent","37"
"17","convent","24"
"18","convent","70"
"19","convent","63"
"20","convent","0"
"21","convent","73"
"22","convent","39"
"23","convent","54"
"24","convent","52"
"25","convent","39"
"26","convent","34"
"27","convent","30"
"28","convent","55"
"29","convent","58"
"30","convent","18"
"31","new","0"
"32","new","32"
"33","new","20"
"34","new","23"
"35","new","14"
"36","new","19"
"37","new","60"
"38","new","59"
"39","new","64"
"40","new","64"
"41","new","72"
"42","new","50"
"43","new","44"
"44","new","14"
"45","new","10"
"46","new","58"
"47","new","19"
"48","new","41"
"49","new","17"
"50","new","5"
"51","new","36"
"52","new","73"
"53","new","19"
"54","new","46"
"55","new","9"
"56","new","43"
"57","new","73"
"58","new","27"
"59","new","25"
"60","new","18"