"","river","length","flowsto"
"1","Clarence","209","Pacific"
"2","Conway","48","Pacific"
"3","Waiau","169","Pacific"
"4","Hurunui","138","Pacific"
"5","Waipara","64","Pacific"
"6","Ashley","97","Pacific"
"7","Waimakariri","161","Pacific"
"8","Selwyn","95","Pacific"
"9","Rakaia","145","Pacific"
"10","Ashburton","90","Pacific"
"11","Rangitata","121","Pacific"
"12","Ophi","80","Pacific"
"13","Pareora","56","Pacific"
"14","Waihao","64","Pacific"
"15","Waitaki","209","Pacific"
"16","Kakanui","64","Pacific"
"17","Shag","72","Pacific"
"18","Taieri","288","Pacific"
"19","Clutha","322","Pacific"
"20","Hollyford","76","Tasman"
"21","Cascade","64","Tasman"
"22","Arawhata","68","Tasman"
"23","Haast","64","Tasman"
"24","Karangarua","37","Tasman"
"25","Cook","32","Tasman"
"26","Waiho","32","Tasman"
"27","Whataroa","51","Tasman"
"28","Wanganui","56","Tasman"
"29","Waitaha","40","Tasman"
"30","Hokitika","64","Tasman"
"31","Arahura","56","Tasman"
"32","Taramakau","80","Tasman"
"33","Grey","121","Tasman"
"34","Buller","177","Tasman"
"35","Mokihinui","56","Tasman"
"36","Karamea","80","Tasman"
"37","Heaphy","35","Tasman"
"38","Aorere","72","Tasman"
"39","Takaka","72","Tasman"
"40","Motueka","108","Tasman"
"41","Waimea","48","Tasman"